"User/Org","Display Name","Account Type","Followers","Public Repos","Affected Repos","Repo Count","GitHub URL"
"Faizanmal","Faizan Malik ","User","0","23","Faizanmal/Coding_assistant; Faizanmal/Dashboard_Webview; Faizanmal/Real-Time-Pulse; Faizanmal/SyncQuote; Faizanmal/application_tracker; Faizanmal/movie_recommender; Faizanmal/progress_tracker; Faizanmal/subscription-management","8","https://github.com/Faizanmal"
"FyslAhmd","Faysal Ahmad Patwary ","User","3","73","FyslAhmd/MindMend-AI; FyslAhmd/QueueMaster; FyslAhmd/hello-next; FyslAhmd/motion-booster; FyslAhmd/next-2; FyslAhmd/next-concept-3; FyslAhmd/nexus-admin-frontend; FyslAhmd/ora-tracker-client","8","https://github.com/FyslAhmd"
"James-CodeX","James Karanja ","User","2","33","James-CodeX/Artify-master; James-CodeX/FUTURE_FS_03; James-CodeX/Leafguard-AI; James-CodeX/SEO-Blogs; James-CodeX/jhub-gallery; James-CodeX/movie_explained_frontend; James-CodeX/shamba-records; James-CodeX/tasks-manager","8","https://github.com/James-CodeX"
"kimdat546","Reachi Nguyen ","User","1","63","kimdat546/bot_than_giu_cua; kimdat546/finance-tracking-v2; kimdat546/my-resume; kimdat546/ngoc-blog; kimdat546/order-tracker; kimdat546/simple-chart-with-d3; kimdat546/tycoon-game; kimdat546/zone-align","8","https://github.com/kimdat546"
"Mamun-Hossain-dev","Mamun Hossain ","User","3","92","Mamun-Hossain-dev/agency-server; Mamun-Hossain-dev/clinicallymanic-frontend; Mamun-Hossain-dev/latest-offshore-pirates-project; Mamun-Hossain-dev/quickCart-ecommerce; Mamun-Hossain-dev/task-manager-app; Mamun-Hossain-dev/wasabi-gaming-backend; Mamun-Hossain-dev/wasabi-gaming-final-admin-dashboard; Mamun-Hossain-dev/wasabi-gaming-final-frontend","8","https://github.com/Mamun-Hossain-dev"
"nathnaeltefera"," ","User","4","48","nathnaeltefera/allin1-ai-assistant; nathnaeltefera/bike-repair; nathnaeltefera/common-app-web; nathnaeltefera/eskalate-jobs-test; nathnaeltefera/git-challenge-solution; nathnaeltefera/search-test; nathnaeltefera/tradehub; nathnaeltefera/webdev_nextauth","8","https://github.com/nathnaeltefera"
"naymHdev","Naym Hossen ","User","7","147","naymHdev/2x-warriors; naymHdev/afiya-anjum-maya; naymHdev/car-rental-server; naymHdev/game-dashboard; naymHdev/level-2-assignment-2-stationery-shop; naymHdev/nobel-sports-dashboard; naymHdev/nobelsport-client; naymHdev/play-top","8","https://github.com/naymHdev"
"RabeyaAkter78","Rabeya Akter ","User","7","109","RabeyaAkter78/AntDesign; RabeyaAkter78/first-project-setup-l2; RabeyaAkter78/hal-cal-client; RabeyaAkter78/hal-cal-server; RabeyaAkter78/next-JS-project; RabeyaAkter78/socket-io-client; RabeyaAkter78/socket-io-server; RabeyaAkter78/ssl-commerz","8","https://github.com/RabeyaAkter78"
"rakeshkarmaker","Rakesh Karmaker ","User","7","55","rakeshkarmaker/Hitster-Kodevio; rakeshkarmaker/devotion-andreia250472; rakeshkarmaker/event-management-next; rakeshkarmaker/event-management-nextjs; rakeshkarmaker/tourism-web-application-frontend; rakeshkarmaker/vectra-roojinoor-fullstack; rakeshkarmaker/visualexstasy-CeleBrease; rakeshkarmaker/vlietson26-Hitster-admin-fullstack","8","https://github.com/rakeshkarmaker"
"thisdotLolu","Lolu ","User","36","180","thisdotLolu/MYLT-nft; thisdotLolu/gm-ts; thisdotLolu/lyra-frontend; thisdotLolu/mylt; thisdotLolu/property-app-demo; thisdotLolu/rdx; thisdotLolu/vecole-client; thisdotLolu/vpad","8","https://github.com/thisdotLolu"
"vinayytyagi","Vinay Kumar ","User","3","16","vinayytyagi/30meals; vinayytyagi/Artistly; vinayytyagi/MyShaadiStore; vinayytyagi/letsfly; vinayytyagi/lineup; vinayytyagi/mss-vendor; vinayytyagi/my-admin; vinayytyagi/spendify","8","https://github.com/vinayytyagi"
"zakaria-akash","Zakaria Ibrahim ","User","2","48","zakaria-akash/asset-track-lite; zakaria-akash/fashion-mart-website; zakaria-akash/mini-habit-tracker-frontend; zakaria-akash/pulse-board-frontend; zakaria-akash/pulseboard-backend; zakaria-akash/quran-web-application; zakaria-akash/rapid-mart; zakaria-akash/rise-at-seven-clone","8","https://github.com/zakaria-akash"
"0xChijioke"," ","User","19","67","0xChijioke/flash; 0xChijioke/hack; 0xChijioke/pooldive; 0xChijioke/quizer; 0xChijioke/regrow; 0xChijioke/scaffold-frog; 0xChijioke/vest","7","https://github.com/0xChijioke"
"aindrajaya","Arista Indrajaya ","User","46","224","aindrajaya/funneldash; aindrajaya/llm-pipeline; aindrajaya/mock-server; aindrajaya/node-proxy-server; aindrajaya/senda-api; aindrajaya/virtual-run-api; aindrajaya/vrun-api","7","https://github.com/aindrajaya"
"AslanovRustam","Aslanov Rustam ","User","5","139","AslanovRustam/ai-parallax; AslanovRustam/auth-chat-next; AslanovRustam/chat-ws-backend; AslanovRustam/chat-ws-frontend; AslanovRustam/games-tournament; AslanovRustam/hero-gsap; AslanovRustam/onboarding-agent","7","https://github.com/AslanovRustam"
